state_abbr,year,lfp_sa
WA,2010,67.09166666666667
WA,2011,65.63333333333334
WA,2012,64.7
WA,2013,63.31666666666666
WA,2014,63.06666666666666
WA,2015,63.125
WA,2016,63.541666666666664
WA,2017,63.833333333333336
WA,2018,64.34166666666667
WA,2019,65.49166666666666
WV,2010,54.69166666666666
WV,2011,54.291666666666664
WV,2012,54.40833333333333
WV,2013,53.916666666666664
WV,2014,53.75833333333333
WV,2015,53.56666666666666
WV,2016,53.30833333333334
WV,2017,53.541666666666664
WV,2018,54.40833333333333
WV,2019,54.74166666666667
WI,2010,69.43333333333334
WI,2011,68.93333333333334
WI,2012,68.53333333333333
WI,2013,68.36666666666666
WI,2014,68.0
WI,2015,67.825
WI,2016,68.10833333333333
WI,2017,68.05833333333334
WI,2018,67.39166666666667
WI,2019,66.77499999999999
WY,2010,70.33333333333333
WY,2011,69.78333333333333
WY,2012,68.825
WY,2013,67.63333333333334
WY,2014,67.59166666666667
WY,2015,67.03333333333333
WY,2016,66.68333333333334
WY,2017,65.99166666666666
WY,2018,65.72500000000001
WY,2019,65.7
DC,2010,68.77499999999999
DC,2011,67.76666666666667
DC,2012,69.05833333333334
DC,2013,69.39999999999999
DC,2014,69.31666666666666
DC,2015,69.625
DC,2016,69.85833333333333
DC,2017,70.46666666666667
DC,2018,70.48333333333333
DC,2019,71.15833333333333
